Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,4,9.929e-13,-1.4721,2.4352,0.0011335
1,2,yes,4,4.4543e-09,-1.4721,1.8177,0.00058454
2,2,yes,3,1.0203e-05,-1.4721,2.4761,0.00041388
3,2,yes,5,1.747e-09,-1.4721,3.0609,0.00064237
4,2,yes,5,8.459e-05,-1.4721,2.4286,0.000707
5,2,yes,3,1.7486e-06,-1.4721,2.3856,0.00071004
0,1000,yes,19,5.8988e-05,-427.4,1.7103,0.008474
1,1000,yes,19,3.0184e-06,-427.4,0.9973,0.0061158
2,1000,yes,20,1.1265e-06,-427.4,1.3234,0.0066519
3,1000,yes,21,2.5806e-05,-427.4,1.8899,0.0066686
4,1000,yes,22,4.0633e-05,-427.4,1.6535,0.0076549
5,1000,yes,19,2.0479e-05,-427.4,1.1025,0.0057505
0,10000,yes,23,1.3804e-05,-4159.9,1.6451,0.050948
1,10000,yes,27,1.0276e-06,-4159.9,2.0393,0.059086
2,10000,yes,30,5.619e-05,-4159.9,0.84216,0.088426
3,10000,yes,33,2.187e-06,-4159.9,1.2204,0.076703
4,10000,yes,31,1.4111e-05,-4159.9,1.6229,0.07724
5,10000,yes,26,6.7179e-05,-4159.9,1.2547,0.06142
0,100000,no,199,0.00019724,-41444,1.3688,30.541
1,100000,no,199,0.00011135,-41444,1.5652,31.897
2,100000,yes,37,3.2136e-05,-41444,1.3351,1.7486
3,100000,no,199,0.00013019,-41444,1.2017,29.45
4,100000,yes,35,8.7627e-05,-41444,1.5257,1.2272
5,100000,yes,32,7.4521e-05,-41444,1.3394,1.2627
